DateTime,Entries,UniqueIPs
1497356135,329,329
1497356932,328,328
1497357759,328,328
1497359453,329,329
1497360672,330,330
1497361676,334,334
1497362184,335,335
1497363124,335,335
1497364245,337,337
1497365014,340,340
1497366346,338,338
1497367189,340,340
1497368157,341,341
1497368982,339,339
1497369810,340,340
1497370673,343,343
1497372367,344,344
1497373832,347,347
1497375329,345,345
1497376531,351,351
1497377446,351,351
1497379242,348,348
1497380188,351,351
1497381274,348,348
1497382175,345,345
1497382958,344,344
1497383785,345,345
1497384660,344,344
1497385836,344,344
1497386590,343,343
1497387539,345,345
1497388531,347,347
1497389474,344,344
1497391786,344,344
1497393094,347,347
1497394876,349,349
1497395726,351,351
1497396654,349,349
1497397374,349,349
1497398340,347,347
1497399262,348,348
1497400132,352,352
1497401115,349,349
1497402200,345,345
1497403127,345,345
1497405327,349,349
1497406247,346,346
1497407475,345,345
1497408347,346,346
1497409290,344,344
1497410128,345,345
1497411057,344,344
1497411955,339,339
1497412792,335,335
1497413741,335,335
1497414888,334,334
1497416127,337,337
1497417046,340,340
1497418172,337,337
1497419152,338,338
1497419949,339,339
1497421238,344,344
1497422187,345,345
1497423076,347,347
1497424005,345,345
1497424837,343,343
1497426873,342,342
1497427843,340,340
1497428818,340,340
1497429638,340,340
1497431248,338,338
1497432303,338,338
1497433257,337,337
1497434335,341,341
1497435541,341,341
1497437696,345,345
1497438697,345,345
1497439526,347,347
1497440572,348,348
1497441382,348,348
1497442226,346,346
1497443323,343,343
1497445248,342,342
1497446079,342,342
1497447743,341,341
1497449516,340,340
1497450506,339,339
1497451583,340,340
1497453030,339,339
1497453261,341,341
1497454848,340,340
1497455780,341,341
1497456659,338,338
1497457717,338,338
1497458765,307,307
1497459945,305,305
1497460843,306,306
1497461703,313,313
1497462939,315,315
1497464104,312,312
1497465068,316,316
1497465941,345,345
1497468183,350,350
1497469247,348,348
1497470127,350,350
1497472280,351,351
1497473139,355,355
1497474939,355,355
1497475830,355,355
1497476747,354,354
1497477899,354,354
1497478469,355,355
1497480028,356,356
1497480990,354,354
1497481866,353,353
1497482722,352,352
1497483787,350,350
1497485430,350,350
1497487609,347,347
1497488763,346,346
1497489647,348,348
1497490468,346,346
1497491727,348,348
1497492929,349,349
1497494126,349,349
1497495053,351,351
1497496855,351,351
1497497720,352,352
1497498926,357,357
1497499857,356,356
1497501025,358,358
1497501963,358,358
1497502859,361,361
1497503947,363,363
1497504824,361,361
1497506131,363,363
1497507305,365,365
1497508127,366,366
1497509183,365,365
1497510657,365,365
1497511468,368,368
1497512275,366,366
1497514581,364,364
1497515686,360,360
1497517148,360,360
1497518017,363,363
1497520230,364,364
1497521218,364,364
1497522041,367,367
1497522953,370,370
1497524285,374,374
1497525338,375,375
1497526946,372,372
1497528379,371,371
1497529236,369,369
1497531677,369,369
1497532464,371,371
1497533432,369,369
1497534331,371,371
1497535247,371,371
1497536172,372,372
1497537044,372,372
1497538189,375,375
1497539320,374,374
1497541343,371,371
1497542181,371,371
1497543027,370,370
1497544107,370,370
1497545252,366,366
1497546621,359,359
1497547891,362,362
1497548813,363,363
1497550351,362,362
1497551447,362,362
1497553813,359,359
1497555630,354,354
1497556590,353,353
1497557850,355,355
1497558773,354,354
1497560263,355,355
1497561344,356,356
1497562951,357,357
1497563828,360,360
1497565064,360,360
1497566131,359,359
1497568225,360,360
1497570150,357,357
1497570974,359,359
1497571873,358,358
1497573013,361,361
1497573949,360,360
1497575111,358,358
1497576025,361,361
1497577341,362,362
1497578257,365,365
1497579366,369,369
1497580107,370,370
1497580991,365,365
1497581819,367,367
1497582867,368,368
1497583890,370,370
1497585342,374,374
1497587301,381,381
1497588364,380,380
1497589741,384,384
1497591752,382,382
1497592678,385,385
1497593810,382,382
1497594832,378,378
1497595941,379,379
1497596735,377,377
1497597673,379,379
1497598229,378,378
1497599147,377,377
1497599802,379,379
1497601343,378,378
1497602143,375,375
1497603073,378,378
1497603933,378,378
1497604516,377,377
1497606417,372,372
1497608086,377,377
1497608985,372,372
1497610318,370,370
1497611229,369,369
1497612094,370,370
1497612935,371,371
1497614185,372,372
1497615944,373,373
1497616884,371,371
1497618645,375,375
1497620332,375,375
1497621726,373,373
1497623269,374,374
1497624837,380,380
1497626151,383,383
1497627261,384,384
1497628328,387,387
1497629587,385,385
1497630509,383,383
1497631676,382,382
1497633264,384,384
1497635135,378,378
1497636389,374,374
1497637220,374,374
1497638650,339,339
1497639939,341,341
1497640869,344,344
1497642356,341,341
1497642987,339,339
1497644270,338,338
1497644910,340,340
1497646028,337,337
1497647683,335,335
1497648882,334,334
1497650190,336,336
1497651169,335,335
1497651999,337,337
1497653052,338,338
1497654866,341,341
1497656664,340,340
1497657898,338,338
1497658727,339,339
1497660097,337,337
1497662137,330,330
1497663433,331,331
1497664530,332,332
1497665819,331,331
1497667585,328,328
